OBSERVATIONS

Stations
  Stnr Name              Operates from Operates until Altitude Latitude Longitude Region/Country                                                                          
 99840 SVALBARD LUFTHAVN Oct 1964                           28  78.2453   15.5015 NORWAY                                                            


Elements
 Code  Name                                Unit               
 DD    Wind direction (FF)                 degrees                            
 FF    Wind speed (10 meters above ground) m/s                                            
 PO    Air pressure at station level       hPa                                      
 RR_12 Precipitation (12 hours)            mm                                    
 RR_24 Precipitation (24 hours)            mm                                    
 TA    Air temperature                     degC                        
 TSS   Temperature                         degC                     


Coordinated Universal Time (UTC) is the time by the Prime Meridian and is the successor to the hour Greenwich Mean Time (GMT). It is 1 hour after Norwegian Mean Time (NMT) and 2 hours after the Norwegian summer time. UTC gives the hours from 00 to 23.
****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain' (Level 5 or more).
********************************************

 St.no Year Mnth Date Time(UTC)     PO  RR_12  RR_24    TA    TSS     DD   FF                                               
 99840 2009    3   28         0  999.6 -999.5 -999.5  -5.8 -999.5      0  0.0                                            
 99840 2009    3   28         6  999.6    4.6 -999.5  -4.7 -999.5    130  1.2                                           
 99840 2009    3   28        12  999.6 -999.5 -999.5  -2.6 -999.5    136  5.8                                               
 99840 2009    3   28        18  999.3    1.5 -999.5  -3.1 -999.5    136 10.3                                             
 99840 2009    3   29         0 1001.7 -999.5 -999.5  -4.2 -999.5    255  8.0                                               
 99840 2009    3   29         6 1004.8    1.5 -999.5  -6.7 -999.5    225  2.8                                            
 99840 2009    3   29        12 1007.5 -999.5 -999.5  -7.0 -999.5    235  4.5                                                
 99840 2009    3   29        18 1009.2    0.0 -999.5 -11.1 -999.5    125  3.3                                              
 99840 2009    3   30         0 1010.2 -999.5 -999.5 -15.1 -999.5    133  4.9                                                
 99840 2009    3   30         6 1009.0    0.3 -999.5 -16.6 -999.5    102  4.0                                             
 99840 2009    3   30        12 1007.3 -999.5 -999.5 -11.1 -999.5    147  3.0                                                 
 99840 2009    3   30        18 1004.9      x -999.5 -10.7 -999.5    149  1.8                                            
 99840 2009    3   31         0 1004.0 -999.5 -999.5  -9.9 -999.5    156  1.0                                               
 99840 2009    3   31         6 1005.0    0.1 -999.5 -10.6 -999.5     84  1.0                                            
 99840 2009    3   31        12 1007.3 -999.5 -999.5  -9.6 -999.5     37  5.7                                               
 99840 2009    3   31        18 1010.4      . -999.5 -14.0 -999.5     60  4.4                                           
 99840 2009    4    1         0 1013.1 -999.5 -999.5 -22.3 -999.5      0  0.0                                             
 99840 2009    4    1         6 1015.4      . -999.5 -19.5 -999.5     85  1.7                                         
 99840 2009    4    1        12 1018.8 -999.5 -999.5 -20.3 -999.5    115  2.5                                                
 99840 2009    4    1        18 1020.9      . -999.5 -22.0 -999.5    126  5.9                                           
 99840 2009    4    2         0 1021.4 -999.5 -999.5 -27.4 -999.5    135  5.0                                               
 99840 2009    4    2         6 1020.7      . -999.5 -27.0 -999.5    128  4.3                                          
 99840 2009    4    2        12 1020.0 -999.5 -999.5 -21.3 -999.5    130  2.9                                                
 99840 2009    4    2        18 1017.8    0.1 -999.5 -20.0 -999.5    142  2.4                                             
 99840 2009    4    3         0 1016.2 -999.5 -999.5 -18.2 -999.5    156  0.8                                               
 99840 2009    4    3         6 1012.5    1.0 -999.5 -14.8 -999.5    244  1.7                                            
 99840 2009    4    3        12 1009.6 -999.5 -999.5 -11.8 -999.5    266  2.0                                                
 99840 2009    4    3        18 1008.3    1.6 -999.5 -12.6 -999.5    119  8.4                                             
 99840 2009    4    4         0 1009.9 -999.5 -999.5 -14.5 -999.5    142  5.6                                               
 99840 2009    4    4         6 1012.9    0.5 -999.5 -17.1 -999.5    133  5.8                                            
 99840 2009    4    4        12 1015.9 -999.5 -999.5 -17.2 -999.5    127  2.8                                                
 99840 2009    4    4        18 1017.2      . -999.5 -21.0 -999.5    131  5.5                                           
 99840 2009    4    5         0 1017.8 -999.5 -999.5 -25.0 -999.5    133  5.3                                               
 99840 2009    4    5         6 1018.1      . -999.5 -25.8 -999.5    134  4.4                                          
 99840 2009    4    5        12 1019.9 -999.5 -999.5 -21.0 -999.5    163  1.9                                                
 99840 2009    4    5        18 1020.3      . -999.5 -24.1 -999.5    141  4.7                                           
 99840 2009    4    6         0 1020.9 -999.5 -999.5 -27.3 -999.5    161  2.3                                               
 99840 2009    4    6         6 1019.8      . -999.5 -27.0 -999.5    131  1.9                                          
 99840 2009    4    6        12 1019.8 -999.5 -999.5 -21.3 -999.5    217  1.1                                                
 99840 2009    4    6        18 1017.5      . -999.5 -21.4 -999.5    148  2.9                                           
 99840 2009    4    7         0 1015.3 -999.5 -999.5 -16.5 -999.5    112  6.5                                               
 99840 2009    4    7         6 1011.2    0.0 -999.5 -13.1 -999.5    252  3.1                                            
 99840 2009    4    7        12 1009.7 -999.5 -999.5 -11.4 -999.5    144  9.4                                                
 99840 2009    4    7        18 1009.4    0.0 -999.5 -13.0 -999.5    135  7.8                                             
 99840 2009    4    8         0 1009.0 -999.5 -999.5 -10.8 -999.5    251  2.0                                               
 99840 2009    4    8         6 1009.8    0.1 -999.5 -10.2 -999.5    246  0.7                                            
 99840 2009    4    8        12 1014.0 -999.5 -999.5  -7.5 -999.5    259  5.2                                               
 99840 2009    4    8        18 1016.2      x -999.5 -11.1 -999.5    229  0.9                                           
 99840 2009    4    9         0 1017.9 -999.5 -999.5 -16.2 -999.5    117  2.2                                               
 99840 2009    4    9         6 1017.5      . -999.5 -13.8 -999.5    122  2.6                                          
 99840 2009    4    9        12 1016.7 -999.5 -999.5 -11.4 -999.5    131  3.1                                                
 99840 2009    4    9        18 1014.0    1.0 -999.5 -12.4 -999.5    171  2.3                                             
 99840 2009    4   10         0 1011.5 -999.5 -999.5 -11.6 -999.5    190  1.2                                                
 99840 2009    4   10         6 1008.4      . -999.5 -13.1 -999.5    135  4.2                                           
 99840 2009    4   10        12 1005.1 -999.5 -999.5  -7.5 -999.5    114  1.5                                                
 99840 2009    4   10        18  997.6    1.0 -999.5  -3.9 -999.5    138 10.0                                             
 99840 2009    4   11         0  991.3 -999.5 -999.5  -0.9 -999.5    168  5.5                                              
 99840 2009    4   11         6  988.0    0.7 -999.5  -0.8 -999.5    261  5.9                                           
 99840 2009    4   11        12  990.8 -999.5 -999.5  -4.8 -999.5    263  8.9                                               
 99840 2009    4   11        18  996.4    0.1 -999.5  -9.9 -999.5    309  7.4                                            
 99840 2009    4   12         0  998.3 -999.5 -999.5 -14.8 -999.5    271  3.9                                               
 99840 2009    4   12         6  998.1      . -999.5 -13.9 -999.5    357  4.9                                          
 99840 2009    4   12        12  999.6 -999.5 -999.5 -13.9 -999.5    320  4.7                                                
 99840 2009    4   12        18 1000.8      . -999.5 -15.6 -999.5    329  3.7                                            
 99840 2009    4   13         0 1002.4 -999.5 -999.5 -17.7 -999.5    270  3.2                                                
 99840 2009    4   13         6 1003.6      . -999.5 -15.3 -999.5    299  6.3                                           
 99840 2009    4   13        12 1006.7 -999.5 -999.5 -13.6 -999.5    311  3.9                                                 
 99840 2009    4   13        18 1009.9      . -999.5 -15.0 -999.5    344  3.7                                            
 99840 2009    4   14         0 1012.9 -999.5 -999.5 -16.4 -999.5    256  3.4                                                
 99840 2009    4   14         6 1015.0      . -999.5 -16.6 -999.5    269  3.1                                           
 99840 2009    4   14        12 1017.1 -999.5 -999.5 -15.2 -999.5    261  2.8                                                 
 99840 2009    4   14        18 1018.3      . -999.5 -16.6 -999.5    262  3.9                                            
 99840 2009    4   15         0 1020.2 -999.5 -999.5 -18.3 -999.5    274  3.8                                                
 99840 2009    4   15         6 1020.8      . -999.5 -17.6 -999.5    266  4.9                                           
 99840 2009    4   15        12 1021.9 -999.5 -999.5 -16.7 -999.5    314  4.7                                                 
 99840 2009    4   15        18 1020.7      . -999.5 -17.3 -999.5    304  4.0                                            
 99840 2009    4   16         0 1018.9 -999.5 -999.5 -18.6 -999.5    259  3.1                                                
 99840 2009    4   16         6 1016.2      . -999.5 -20.9 -999.5    141  0.8                                           
 99840 2009    4   16        12 1013.6 -999.5 -999.5 -17.3 -999.5    185  0.7                                                 
 99840 2009    4   16        18 1011.2      . -999.5 -19.5 -999.5    143  1.2                                            
 99840 2009    4   17         0 1011.3 -999.5 -999.5 -23.3 -999.5    125  4.4                                                
 99840 2009    4   17         6 1012.1      . -999.5 -20.3 -999.5      0  0.0                                         
 99840 2009    4   17        12 1013.7 -999.5 -999.5 -17.9 -999.5    105  0.8                                                 
 99840 2009    4   17        18 1015.0      . -999.5 -18.7 -999.5    149  1.2                                            
 99840 2009    4   18         0 1016.6 -999.5 -999.5 -21.9 -999.5    136  3.0                                                
 99840 2009    4   18         6 1015.7      . -999.5 -21.4 -999.5    123  3.4                                           
 99840 2009    4   18        12 1013.1 -999.5 -999.5 -13.9 -999.5      0  0.0                                               
 99840 2009    4   18        18 1009.7      . -999.5 -16.0 -999.5    253  1.2                                            
 99840 2009    4   19         0 1008.4 -999.5 -999.5 -17.0 -999.5     17  3.6                                               
 99840 2009    4   19         6 1010.0    0.0 -999.5 -19.4 -999.5    113  2.1                                             
 99840 2009    4   19        12 1013.6 -999.5 -999.5 -16.8 -999.5      0  0.0                                               
 99840 2009    4   19        18 1014.7      . -999.5 -18.2 -999.5    137  1.7                                            
 99840 2009    4   20         0 1015.5 -999.5 -999.5 -20.5 -999.5    177  0.6                                                
 99840 2009    4   20         6 1014.3      . -999.5 -17.8 -999.5    123  2.2                                           
 99840 2009    4   20        12 1009.3 -999.5 -999.5 -14.4 -999.5     70  3.5                                                
 99840 2009    4   20        18  996.3    0.4 -999.5 -12.3 -999.5    263  3.0                                             
 99840 2009    4   21         0  994.6 -999.5 -999.5 -10.3 -999.5    294  2.9                                               
 99840 2009    4   21         6  995.7    0.1 -999.5 -16.1 -999.5      0  0.0                                          
 99840 2009    4   21        12  999.5 -999.5 -999.5 -14.4 -999.5    269  3.4                                                
 99840 2009    4   21        18 1002.5      . -999.5 -15.1 -999.5    283  1.5                                            
 99840 2009    4   22         0 1005.2 -999.5 -999.5 -18.8 -999.5    296  2.9                                                
 99840 2009    4   22         6 1007.4      . -999.5 -20.0 -999.5    217  0.8                                           
 99840 2009    4   22        12 1007.2 -999.5 -999.5 -19.1 -999.5    132  3.6                                                 
 99840 2009    4   22        18 1007.7      . -999.5 -18.2 -999.5    272  1.4                                            
 99840 2009    4   23         0 1010.9 -999.5 -999.5 -21.6 -999.5    251  0.4                                                
 99840 2009    4   23         6 1013.9      . -999.5 -20.0 -999.5    145  0.5                                           
 99840 2009    4   23        12 1016.7 -999.5 -999.5 -16.6 -999.5    166  0.7                                                 
 99840 2009    4   23        18 1016.9      . -999.5 -18.1 -999.5      0  0.0                                          
 99840 2009    4   24         0 1015.8 -999.5 -999.5 -21.2 -999.5    104  1.3                                                
 99840 2009    4   24         6 1013.4      . -999.5 -19.5 -999.5    122  2.2                                           
 99840 2009    4   24        12 1012.5 -999.5 -999.5 -14.5 -999.5    127  1.3                                                 
 99840 2009    4   24        18 1011.9      . -999.5 -16.1 -999.5      0  0.0                                          
 99840 2009    4   25         0 1011.5 -999.5 -999.5 -19.7 -999.5      0  0.0                                              
 99840 2009    4   25         6 1010.9      . -999.5 -17.7 -999.5    110  1.6                                           
 99840 2009    4   25        12 1009.6 -999.5 -999.5 -14.1 -999.5    118  2.7                                                 
 99840 2009    4   25        18 1008.0      . -999.5 -15.0 -999.5      0  0.0                                          
 99840 2009    4   26         0 1006.4 -999.5 -999.5 -19.2 -999.5    145  1.8                                                
 99840 2009    4   26         6 1005.0      . -999.5 -15.8 -999.5    113  1.8                                           
 99840 2009    4   26        12 1005.1 -999.5 -999.5 -11.1 -999.5    187  1.2                                                 
 99840 2009    4   26        18 1005.6      . -999.5 -14.1 -999.5      0  0.0                                          
 99840 2009    4   27         0 1006.2 -999.5 -999.5 -16.1 -999.5      0  0.0                                              
 99840 2009    4   27         6 1006.0    0.1 -999.5 -16.6 -999.5    121  1.1                                             
 99840 2009    4   27        12 1006.6 -999.5 -999.5 -11.4 -999.5    268  3.9                                                 
 99840 2009    4   27        18 1007.7    0.1 -999.5 -14.4 -999.5     10  1.7                                             
 99840 2009    4   28         0 1008.3 -999.5 -999.5 -21.2 -999.5    273  1.8                                                
 99840 2009    4   28         6 1008.1      . -999.5 -18.6 -999.5      0  0.0                                         
 99840 2009    4   28        12 1008.8 -999.5 -999.5 -14.4 -999.5     35  0.8                                                
 99840 2009    4   28        18 1009.2      . -999.5 -16.1 -999.5      0  0.0                                          
 99840 2009    4   29         0 1010.4 -999.5 -999.5 -20.1 -999.5    137  1.2                                                
 99840 2009    4   29         6 1011.1      . -999.5 -17.0 -999.5    116  0.9                                           
 99840 2009    4   29        12 1010.8 -999.5 -999.5 -12.2 -999.5     97  1.7                                                
 99840 2009    4   29        18 1006.7    0.1 -999.5  -9.3 -999.5    286  0.8                                             
 99840 2009    4   30         0 1005.6 -999.5 -999.5  -3.6 -999.5     56  1.1                                              
 99840 2009    4   30         6 1008.0    0.1 -999.5  -3.3 -999.5    280  7.7                                            
 99840 2009    4   30        12 1011.0 -999.5 -999.5  -4.3 -999.5    258  7.9                                                
 99840 2009    4   30        18 1012.6      . -999.5  -5.4 -999.5    238  3.8                                           
 99840 2009    5    1         0 1013.6 -999.5 -999.5  -7.8 -999.5     51  1.6                                             
 99840 2009    5    1         6 1013.0      . -999.5  -8.5 -999.5    112  3.5                                         
 99840 2009    5    1        12 1014.1 -999.5 -999.5  -4.4 -999.5      0  0.0                                             
 99840 2009    5    1        18 1014.2    0.0 -999.5  -4.7 -999.5    267  3.2                                            
 99840 2009    5    2         0 1014.6 -999.5 -999.5  -4.2 -999.5    242  0.4                                              
 99840 2009    5    2         6 1013.1    0.1 -999.5  -3.5 -999.5    274  2.5                                           
 99840 2009    5    2        12 1012.1 -999.5 -999.5  -2.1 -999.5    258  1.8                                               
 99840 2009    5    2        18 1009.9    0.1 -999.5  -1.3 -999.5    148  8.4                                            
 99840 2009    5    3         0 1007.7 -999.5 -999.5  -0.8 -999.5    143 11.5                                               
 99840 2009    5    3         6 1005.6    1.5 -999.5  -0.9 -999.5    140  9.6                                           
 99840 2009    5    3        12 1005.4 -999.5 -999.5   1.6 -999.5    167  5.2                                              
 99840 2009    5    3        18 1005.6    0.1 -999.5   1.5 -999.5    268  1.6                                           
 99840 2009    5    4         0 1006.3 -999.5 -999.5   1.2 -999.5    275  1.4                                             
 99840 2009    5    4         6 1006.8    0.0 -999.5  -0.5 -999.5    274  3.0                                           
 99840 2009    5    4        12 1007.8 -999.5 -999.5   2.6 -999.5    150  6.5                                              
 99840 2009    5    4        18 1008.8    1.0 -999.5   1.1 -999.5    148  5.9                                           
 99840 2009    5    5         0 1009.3 -999.5 -999.5   0.3 -999.5    138  7.6                                             
 99840 2009    5    5         6 1009.2    0.0 -999.5   0.2 -999.5    137  6.1                                          
 99840 2009    5    5        12 1009.8 -999.5 -999.5   0.3 -999.5    143  6.3                                              
 99840 2009    5    5        18 1009.3      . -999.5  -0.9 -999.5    155  6.6                                          
 99840 2009    5    6         0 1009.5 -999.5 -999.5  -2.9 -999.5    158  6.9                                              
 99840 2009    5    6         6 1009.6      . -999.5  -1.4 -999.5    145  8.4                                         
 99840 2009    5    6        12 1011.3 -999.5 -999.5  -2.3 -999.5    143  8.9                                               
 99840 2009    5    6        18 1012.7      . -999.5  -3.4 -999.5    157  6.8                                          
 99840 2009    5    7         0 1013.8 -999.5 -999.5  -5.2 -999.5    145  6.6                                              
 99840 2009    5    7         6 1014.1      . -999.5  -5.5 -999.5    134  7.7                                         
 99840 2009    5    7        12 1014.6 -999.5 -999.5  -5.3 -999.5    126  7.0                                               
 99840 2009    5    7        18 1014.5      . -999.5  -6.7 -999.5    143  6.5                                          
 99840 2009    5    8         0 1014.3 -999.5 -999.5  -8.3 -999.5    125  8.7                                              
 99840 2009    5    8         6 1013.4      . -999.5  -7.0 -999.5    136  7.7                                         
 99840 2009    5    8        12 1013.2 -999.5 -999.5  -5.5 -999.5    195  3.3                                               
 99840 2009    5    8        18 1012.7      . -999.5  -6.1 -999.5    129  3.5                                          
 99840 2009    5    9         0 1011.6 -999.5 -999.5  -8.9 -999.5    116  6.4                                              
 99840 2009    5    9         6 1009.5      . -999.5  -2.3 -999.5    139  7.0                                         
 99840 2009    5    9        12 1007.9 -999.5 -999.5  -1.5 -999.5    150  9.2                                               
 99840 2009    5    9        18 1003.9      . -999.5  -1.1 -999.5    155 11.4                                           
 99840 2009    5   10         0  999.2 -999.5 -999.5   0.8 -999.5    142 15.3                                              
 99840 2009    5   10         6  998.7      . -999.5   2.8 -999.5    147  8.8                                        
 99840 2009    5   10        12  999.1 -999.5 -999.5   3.4 -999.5    142 10.8                                               
 99840 2009    5   10        18 1000.1    0.1 -999.5   1.6 -999.5    137 12.5                                             
 99840 2009    5   11         0 1001.2 -999.5 -999.5   2.1 -999.5    136  6.9                                              
 99840 2009    5   11         6 1003.8    0.0 -999.5   2.5 -999.5    144  6.3                                           
 99840 2009    5   11        12 1007.9 -999.5 -999.5   2.1 -999.5    148  8.6                                               
 99840 2009    5   11        18 1011.2    0.0 -999.5   1.7 -999.5    140  5.5                                            
 99840 2009    5   12         0 1013.9 -999.5 -999.5   1.0 -999.5    143  5.4                                              
 99840 2009    5   12         6 1014.7      . -999.5   0.9 -999.5    142  4.4                                         
 99840 2009    5   12        12 1014.9 -999.5 -999.5   0.7 -999.5    128  5.2                                               
 99840 2009    5   12        18 1013.7      . -999.5   1.1 -999.5    167  4.5                                          
 99840 2009    5   13         0 1011.1 -999.5 -999.5   2.6 -999.5    206 11.3                                               
 99840 2009    5   13         6 1012.5    0.1 -999.5   0.6 -999.5    253  7.4                                           
 99840 2009    5   13        12 1015.7 -999.5 -999.5   0.7 -999.5    257  5.5                                               
 99840 2009    5   13        18 1017.0    0.0 -999.5   1.0 -999.5    264  4.4                                            
 99840 2009    5   14         0 1017.5 -999.5 -999.5   0.9 -999.5    261  2.3                                              
 99840 2009    5   14         6 1018.0      . -999.5   0.4 -999.5     80  0.4                                        
 99840 2009    5   14        12 1018.1 -999.5 -999.5  -0.4 -999.5      0  0.0                                              
 99840 2009    5   14        18 1017.1      . -999.5   0.0 -999.5      0  0.0                                        
 99840 2009    5   15         0 1017.5 -999.5 -999.5   1.0 -999.5      0  0.0                                            
 99840 2009    5   15         6 1018.9      . -999.5   0.8 -999.5    257  3.3                                         
 99840 2009    5   15        12 1020.8 -999.5 -999.5   1.3 -999.5    254  2.3                                               
 99840 2009    5   15        18 1020.9      . -999.5   0.1 -999.5    269  2.8                                          
 99840 2009    5   16         0 1020.2 -999.5 -999.5  -0.5 -999.5    231  1.7                                               
 99840 2009    5   16         6 1018.2      . -999.5   0.4 -999.5    277  0.7                                         
 99840 2009    5   16        12 1015.6 -999.5 -999.5   1.8 -999.5    249  8.5                                               
 99840 2009    5   16        18 1016.7    0.0 -999.5   1.6 -999.5    250  9.5                                            
 99840 2009    5   17         0 1023.9 -999.5 -999.5  -3.1 -999.5    350  9.1                                               
 99840 2009    5   17         6 1028.3      . -999.5  -4.7 -999.5    352  5.2                                          
 99840 2009    5   17        12 1029.5 -999.5 -999.5  -2.7 -999.5    351  5.0                                                
 99840 2009    5   17        18 1030.0      . -999.5  -2.7 -999.5    340  2.7                                           
 99840 2009    5   18         0 1029.9 -999.5 -999.5  -3.2 -999.5    269  1.6                                               
 99840 2009    5   18         6 1029.7      . -999.5  -3.0 -999.5    304  0.4                                          
 99840 2009    5   18        12 1029.7 -999.5 -999.5  -2.9 -999.5    342  1.1                                                
 99840 2009    5   18        18 1029.1      . -999.5  -2.2 -999.5    325  1.0                                           
 99840 2009    5   19         0 1028.0 -999.5 -999.5  -2.3 -999.5    142  2.0                                               
 99840 2009    5   19         6 1025.2      . -999.5  -1.7 -999.5    147  3.0                                          
 99840 2009    5   19        12 1022.7 -999.5 -999.5  -1.0 -999.5     16  2.7                                               
 99840 2009    5   19        18 1019.6    0.0 -999.5  -1.4 -999.5    288  2.0                                             
 99840 2009    5   20         0 1017.2 -999.5 -999.5  -0.4 -999.5    272  2.8                                               
 99840 2009    5   20         6 1014.8    0.0 -999.5   0.2 -999.5    266  2.5                                           
 99840 2009    5   20        12 1014.1 -999.5 -999.5   0.6 -999.5    273  3.2                                               
 99840 2009    5   20        18 1012.8    0.2 -999.5   0.3 -999.5    276  2.9                                            
 99840 2009    5   21         0 1011.5 -999.5 -999.5   0.5 -999.5    240  2.8                                              
 99840 2009    5   21         6 1009.7    0.0 -999.5   0.8 -999.5    230  3.9                                           
 99840 2009    5   21        12 1009.2 -999.5 -999.5   1.0 -999.5    277  3.5                                               
 99840 2009    5   21        18 1008.2      . -999.5   0.5 -999.5    271  3.4                                          
 99840 2009    5   22         0 1007.7 -999.5 -999.5   1.1 -999.5    242  4.2                                              
 99840 2009    5   22         6 1007.2      . -999.5   1.5 -999.5    258  2.4                                         
 99840 2009    5   22        12 1007.4 -999.5 -999.5   2.2 -999.5    217  2.3                                               
 99840 2009    5   22        18 1006.4    0.0 -999.5   1.6 -999.5    264  3.6                                            
 99840 2009    5   23         0 1006.0 -999.5 -999.5   0.7 -999.5    246  0.8                                              
 99840 2009    5   23         6 1004.9    1.0 -999.5   1.3 -999.5     87  1.3                                          
 99840 2009    5   23        12 1005.1 -999.5 -999.5   1.6 -999.5      0  0.0                                             
 99840 2009    5   23        18 1004.9    0.1 -999.5   1.2 -999.5    257  1.4                                            
 99840 2009    5   24         0 1004.7 -999.5 -999.5  -0.5 -999.5     50  5.9                                              
 99840 2009    5   24         6 1004.6    0.5 -999.5  -2.3 -999.5    128  6.3                                            
 99840 2009    5   24        12 1003.3 -999.5 -999.5  -2.4 -999.5     29  4.5                                               
 99840 2009    5   24        18 1000.9    0.2 -999.5  -4.0 -999.5    251  6.9                                             
 99840 2009    5   25         0  998.0 -999.5 -999.5  -6.0 -999.5    260  4.1                                              
 99840 2009    5   25         6  996.1    0.1 -999.5  -6.2 -999.5    325  5.7                                           
 99840 2009    5   25        12  994.8 -999.5 -999.5  -5.1 -999.5    280  7.8                                               
 99840 2009    5   25        18  994.8      . -999.5  -6.7 -999.5    314  8.1                                          
 99840 2009    5   26         0  994.8 -999.5 -999.5  -8.0 -999.5    337  5.2                                              
 99840 2009    5   26         6  995.2      . -999.5  -6.5 -999.5    286  5.2                                         
 99840 2009    5   26        12  996.0 -999.5 -999.5  -4.6 -999.5    290  6.4                                               
 99840 2009    5   26        18  997.7    0.0 -999.5  -3.6 -999.5    261  6.2                                            
 99840 2009    5   27         0  998.3 -999.5 -999.5  -4.0 -999.5    282  6.6                                              
 99840 2009    5   27         6  997.1    0.0 -999.5  -1.7 -999.5    242  6.4                                           
 99840 2009    5   27        12  997.4 -999.5 -999.5   0.1 -999.5    253  5.7                                              
 99840 2009    5   27        18  997.5    0.0 -999.5  -0.3 -999.5    273  5.5                                            
 99840 2009    5   28         0  997.4 -999.5 -999.5  -0.8 -999.5    251  4.6                                              
 99840 2009    5   28         6  997.7    0.0 -999.5  -0.5 -999.5    235  2.9                                           
 99840 2009    5   28        12  998.9 -999.5 -999.5  -0.1 -999.5    268  3.3                                               
 99840 2009    5   28        18  999.9      . -999.5   0.0 -999.5    271  3.9                                         
 99840 2009    5   29         0 1001.4 -999.5 -999.5  -0.1 -999.5    261  3.7                                               
 99840 2009    5   29         6 1002.5      . -999.5  -0.4 -999.5    316  1.8                                          
 99840 2009    5   29        12 1002.4 -999.5 -999.5   0.7 -999.5     10  1.7                                              
 99840 2009    5   29        18 1002.4      . -999.5   1.4 -999.5     34  2.1                                         
 99840 2009    5   30         0 1003.7 -999.5 -999.5   0.1 -999.5    305  1.8                                              
 99840 2009    5   30         6 1007.0      . -999.5   1.0 -999.5    335  1.2                                         
 99840 2009    5   30        12 1010.3 -999.5 -999.5   2.1 -999.5    306  1.1                                               
 99840 2009    5   30        18 1012.1    0.0 -999.5   1.3 -999.5    265  4.3                                            
 99840 2009    5   31         0 1011.5 -999.5 -999.5   0.7 -999.5    282  1.5                                              
 99840 2009    5   31         6 1007.9      . -999.5   1.5 -999.5    100  4.4                                         
 99840 2009    5   31        12 1004.6 -999.5 -999.5   3.4 -999.5    271  3.7                                               
 99840 2009    5   31        18 1004.8    0.5 -999.5   2.0 -999.5    289  2.3                                            
 99840 2009    6    1         0 1007.4 -999.5 -999.5   0.5 -999.5    317  0.9                                             
 99840 2009    6    1         6 1010.2    0.2 -999.5   0.7 -999.5     18  1.7                                         
 99840 2009    6    1        12 1012.5 -999.5 -999.5   0.9 -999.5    271  1.8                                              
 99840 2009    6    1        18 1012.8    0.0 -999.5   1.4 -999.5    349  1.4                                           
 99840 2009    6    2         0 1013.1 -999.5 -999.5   1.5 -999.5     38  3.8                                            
 99840 2009    6    2         6 1013.3      . -999.5   1.7 -999.5    176  2.8                                        
 99840 2009    6    2        12 1014.6 -999.5 -999.5   1.1 -999.5     11  3.9                                             
 99840 2009    6    2        18 1015.3      . -999.5   0.6 -999.5     37  4.4                                        
 99840 2009    6    3         0 1016.2 -999.5 -999.5  -1.8 -999.5     47  4.7                                             
 99840 2009    6    3         6 1015.6      . -999.5  -1.2 -999.5    348  3.9                                         
 99840 2009    6    3        12 1015.3 -999.5 -999.5   0.4 -999.5    286  2.3                                              
 99840 2009    6    3        18 1014.7      . -999.5   1.3 -999.5     31  3.7                                        
